sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
ERR985520,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs_h_t3_2,e14-1,e14-1-0
ERR985519,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,Tetrad,heat,1h,medium,rs_h_t3_3,e14-1,e14-1-0
ERR985507,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs_h_pm3_c_1,e14-2-0,
ERR985508,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs_h_pm3_c_2,e14-2-0,
ERR985509,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,none,0h,control,rs_h_pm3_c_3,e14-2-0,
ERR985518,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs_h_pm3_1,e14-2,e14-2-0
ERR985517,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs_h_pm3_2,e14-2,e14-2-0
ERR985516,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,post meotic,heat,1h,medium,rs_h_pm3_3,e14-2,e14-2-0
ERR985504,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs_h_m3_c_1,e14-3-0,
ERR985505,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs_h_m3_c_2,e14-3-0,
ERR985506,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,none,0h,control,rs_h_m3_c_3,e14-3-0,
ERR985513,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs_h_m3_1,e14-3,e14-3-0
ERR985514,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs_h_m3_2,e14-3,e14-3-0
ERR985515,single,200,30,p14,Solanum lycopersicum,Red Setter,,pollen,mature,heat,1h,medium,rs_h_m3_3,e14-3,e14-3-0
SRR11829560,paired,,,p15,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82_h_l_c_1,e15-0,
SRR11829559,paired,,,p15,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82_h_l_c_2,e15-0,
SRR11829558,paired,,,p15,Solanum lycopersicum,M82,,leaf,,none,0h,control,m82_h_l_c_3,e15-0,
SRR11829557,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82_h_l_2h_1,e15-1,e15-0
SRR11829556,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82_h_l_2h_2,e15-1,e15-0
SRR11829555,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,2h,high,m82_h_l_2h_3,e15-1,e15-0
SRR11829554,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82_h_l_4h_1,e15-2,e15-0
SRR11829553,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82_h_l_4h_2,e15-2,e15-0
SRR11829552,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,4h,high,m82_h_l_4h_3,e15-2,e15-0
SRR11829550,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82_h_l_12h_1,e15-3,e15-0
SRR11829549,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82_h_l_12h_2,e15-3,e15-0
SRR11829548,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,12h,high,m82_h_l_12h_3,e15-3,e15-0
SRR11829547,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82_h_l_24h_1,e15-4,e15-0
SRR11829546,paired,,,p15,Solanum lycopersicum,M82,,leaf,,heat,24h,high,m82_h_l_24h_2,e15-4,e15-0
