sra_run_id,layout,fragment_length_average,fragment_length_sd,publication_id,species,genotype.name,genotype.accession,tissue,tissue.comment,stress_type,stress.duration,temperature,sample.name,sample.group,respective_control
SRR12356013,paired,,,p19,Solanum lycopersicum,M54,,flower,,heat,4h,low,m54-19-6.2,e19-6,e19-6-0
SRR12356000,paired,,,p19,Solanum lycopersicum,M54,,flower,,heat,4h,low,m54-19-6.3,e19-6,e19-6-0
SRR11855627,paired,,,p20,Solanum lycopersicum,M82,,leaf,,none,,,0h_ D_1,e20-0,
SRR11855628,paired,,,p20,Solanum lycopersicum,M82,,leaf,,none,,,0h_ D_2,e20-0,
SRR11855629,paired,,,p20,Solanum lycopersicum,M82,,leaf,,none,,,0h_ D_3,e20-0,
SRR11855630,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,1d_D_1,e20-1,e20-0
SRR11855631,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,1d_D_2,e20-1,e20-0
SRR11855632,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,1d_D_3,e20-1,e20-0
SRR11855633,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,2d_D_1,e20-2,e20-0
SRR11855634,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,2d_D_2,e20-2,e20-0
SRR11855635,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,2d_D_3,e20-2,e20-0
SRR11855636,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,3d_D_1,e20-3,e20-0
SRR11855637,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,3d_D_2,e20-3,e20-0
SRR11855638,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,3d_D_3,e20-3,e20-0
SRR11855639,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,4d_D_1,e20-4,e20-0
SRR11855640,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,4d_D_2,e20-4,e20-0
SRR11855641,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,4d_D_3,e20-4,e20-0
SRR11855642,paired,,,p20,Solanum lycopersicum,M82,,leaf,,drought,,,5d_D_1,e20-5,e20-0
